tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1800973253948948738',Anonimowe lajki na Twitterze. Wielki przełom w życiu Kamila Glika 😂,pl,Tweet,15,3827,9,51,150731,2024-06-12 21:27:38,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1800959549634981902',"RT @OficjalneZero: Bogusław Leśnodorski prawie z krzesła spadł przez… nietypowy długopis, który znalazł się w rękach. 😳 

Jaki to był długopis? ⤵️ https://t.co/eRngddnFX7",pl,Retweet,29,181,5,21,96755,2024-06-12 20:33:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1800959417279447041/vid/avc1/1920x1080/n99KUoqG2bD8CMFg.mp4?tag=16
'1800960406023790714',"Dzięki Kuba. Ten sezon się nam nie udał, po operacji pleców już nie wróciłeś na odpowiedni poziom, ale nie żałuję tej współpracy. Powodzenia w życiu, cokolwiek strzeli ci do głowy! Drzwi do mnie zawsze otwarte. https://t.co/keMC54qqwr",pl,Tweet,4,937,3,66,142526,2024-06-12 20:36:35,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,photo,https://pbs.twimg.com/media/GP5L8ajWQAEXpaW.jpg
'1800951085554979122',"Super dziewczyna. Aż miło się słucha.

https://t.co/BTNVKvRSFU",pl,Tweet,13,117,3,20,58021,2024-06-12 19:59:33,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,https://youtu.be/5LqpQIWhrcs?si=fYpbUcgiFrp0ecDj,,
'1800851460193980429',"RT @jakubbialek: Gdy Śląsk sięgał po srebrny medal, jego piłkarz Konrad Poprawa nie rozegrał ani minuty przez cały sezon.

Powód? Ciężka depresja i zaburzenia lękowe.

W trudnym wywiadzie Poprawa opowiada o walce z chorobą.

Ważny temat. Dajcie RT.
https://t.co/PAxMgKode0",pl,Retweet,126,979,218,44,109234,2024-06-12 13:23:40,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://weszlo.com/2024/06/12/konrad-poprawa-depresja-choroba-wywiad/,,
'1800855941220593689',"RT @KamilGapiski: Bardzo mocny wywiad. @jakubbialek rozmawia z Konradem Poprawą, który od ponad roku zmaga się z depresją i zaburzeniami lękowymi.

Jeden z ważniejszych tekstów jakie czytałem w ostatnich miesiącach:

https://t.co/dySH8ghbiH",pl,Retweet,6,58,3,0,28991,2024-06-12 13:41:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://weszlo.com/2024/06/12/konrad-poprawa-depresja-choroba-wywiad/,,
'1800801044328538402',"Zapraszam na mój najnowszy komentarz.

Osiem wniosków po eurowyborach.

https://t.co/PAEYGzBAKW",pl,Tweet,16,316,17,60,90543,2024-06-12 10:03:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://youtu.be/e3oEMbaZePc?si=3MSjRnX8Dt_SxNff,,
'1800805218642502137',"@hazan Bardzo szybko oglądasz, gratuluję.",pl,Reply,1,45,0,3,3833,2024-06-12 10:19:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1800803679454331372',Od razu przepraszam za błąd w sprawie Bocheńskiego w tym nagraniu.,pl,Reply,3,223,7,12,64506,2024-06-12 10:13:49,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1800590046065561766',Dziękuję bardzo za miłe słowa. Bycie liderem w tak ważnej dla Polski sprawie to prawdziwy zaszczyt.,pl,Tweet,36,5094,221,297,354165,2024-06-11 20:04:54,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1800613328273780881',"Przy okazji, @Anna_Mierzynska, przeczytałem, że jest Pani specjalistką od wykrywania dezinformacji. Chciałem poinformować, że wykryto w Pani tekście dezinformację. Kilka razy napisała Pani o żołnierzach, którzy ""strzelali DO migrantów"". Dobrze by było, gdyby Pani nie kłamała.",pl,Reply,19,5950,321,110,133168,2024-06-11 21:37:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1800589610999058456',"Starcie dwóch tak inteligentnych osób musi być ucztą.

https://t.co/sLNM2in0dI",pl,Tweet,14,311,12,182,177418,2024-06-11 20:03:11,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.youtube.com/watch?v=x0pbHXnhO_Y,,
'1800551175181209607',"Będę miał nową ulubioną grę i nie tylko dlatego, że robią ją kumple: @copacitygame. Piłka nożna w nowym wydaniu, od strony organizacyjnej. Ciekawy koncept, trzymam kciuki za powodzenie, tym bardziej że jest to polska produkcja.

Gratulacje dla Was, chłopaki!

Więcej informacji znajdziecie tutaj: https://t.co/JBR2N3Y6fs",pl,Tweet,34,363,7,40,107318,2024-06-11 17:30:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1800553949982036400',@Liszkin85 @CopaCityGame @DominikEbebenge Zgadza się:),pl,Reply,0,12,0,1,7977,2024-06-11 17:41:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1800553319863378363',"Wraca wielki sport, wraca STANOWISKO.

Zapraszam.

https://t.co/pVjN3X4gl0",pl,Tweet,8,253,4,37,77176,2024-06-11 17:38:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.youtube.com/watch?v=-VmV_1NcMBU,,
'1800551356039938467',"A tutaj video:

https://t.co/TZqtKYgQtD",pl,Reply,8,54,2,3,37264,2024-06-11 17:31:10,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://youtu.be/zbw331U5pfs?si=DAIYka3i4tTd4WUl,,
'1800546625926160626',"Kilka dni temu było starcie na Twitterze. Robert Gwiazdowski i Marcin Matczak mieli inne zdanie na temat granicy i tego, czy - że tak to ujmę - każda śmierć waży tyle samo. Dzisiaj podyskutują o tym o 20:00 w naszym studiu. Zapraszam.",pl,Tweet,8,506,24,63,123432,2024-06-11 17:12:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1800486908788957387',"Jeśli zgadzaliście się z przesłaniem mojego ostatniego nagrania (o tym, kto ma krew na rękach), to mam dla was złą wiadomość - prawdopodobnie jesteście faszystami.",pl,Tweet,42,4814,330,728,282055,2024-06-11 13:15:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'1800471850956251429',"Opowiem wam historię. Kiedy pod koniec zeszłego roku leciałem do Miami, żeby aby zrobić materiał o Karolinie Derpieńskiej, odzywali się do mnie Polacy, którzy mieszkają tam na miejscu. Odezwała się także przesympatyczna Sylwia, która chciała, abyśmy wspólnie zorganizowali jakieś akcje charytatywne i ona proponuje, że do wygrania mogłyby być koszulki z autografami Messiego.

Rzecz ma się następująco - jej mąż Jerome, bardzo miły chłopak - grał w Interze Miami (a także ma za sobą występy w Bundeslidze), a teraz zajmuje się szukaniem domów dla piłkarzy tego klubu. Co - jak mi odpowiadał - łatwe nie jest, bo spełnienie wszystkich warunków bywa niemal niemożliwe. Duży ogród, ale i dostęp do wody, okolica… Oczywiście takie domy istnieją, ale mają właścicieli, którzy pieniędzy nie potrzebują i nie mają zamiaru się wyprowadzać.

Porozmawialiśmy się, zjedliśmy lunch, pozostaliśmy w kontakcie. Wczoraj dostałem zdjęcie - „Para Stano”, czyli dla wiadomo: dla Stana. Początkowo Leo napisał „para Stako”, więc poprawił, ale tak czy siak jakieś kolejne moje marzenie się spełniło:))))))))

A licytacje będą i koszulki z podpisałem Messiego będą do wylicytowania. Oczywiście poza tą ze zdjęcia, która zawiśnie w moim biurze.",pl,Tweet,72,3660,46,133,479733,2024-06-11 12:15:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GPyPlL6WEAAEOXV.jpg
'1800267147953721843',"ZACZYNAMY.

https://t.co/rLYK70Qgxv",pl,Tweet,1,55,1,16,77676,2024-06-10 22:41:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.youtube.com/watch?v=O7DgPzObDPc,,
'1800252919985696980',"Wyobraźcie sobie, że życie zmusza was do powołania dwóch napastników z polskiej ligi. https://t.co/i4cqEyObLq",pl,Tweet,29,908,9,232,323691,2024-06-10 21:45:17,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GPvIe-ZWsAAuGhX.jpg
'1800243952098132476',"Od razu po meczu zapraszam do Kanału Zero.

- Czesław Michniewicz
- Przemysław Pełka 
- Przemysław Rudzki
- Krzysztof Stanowski

Tutaj: https://t.co/97mAIaZBaa https://t.co/ZlRMvYB1Qu",pl,Tweet,4,394,6,113,155696,2024-06-10 21:09:39,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,https://www.youtube.com/live/O7DgPzObDPc?si=CNJQdhyM0Xz66LB4,photo,https://pbs.twimg.com/media/GPvAVT0WMAA5Du0.jpg
