tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1785274803521200509',"Bezpieczeństwo Polski to bycie częścią NATO i bycie częścią Unii Europejskiej – Europy ojczyzn! 
#ZapewnimyBezpieczenstwo @pisorgpl https://t.co/mevhC0exi6",pl,Tweet,1,171,61,57,6466,2024-04-30 13:47:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#ZapewnimyBezpieczenstwo,,video,https://video.twimg.com/amplify_video/1785274562512384000/vid/avc1/1280x720/f5mhozhv3PUh3DPu.mp4?tag=14
'1785239100812898437',"Pierwszy raz widzę, żeby lider partii przestrzegał przed zwycięstwem formacji, którą kieruje…🙃",pl,Tweet,11,1669,298,442,63452,2024-04-30 11:25:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1785204767955792027',"Koniec naszych tarcz! 
Czas na podwyżki! 📈 

Od 1 lipca nastąpi kolejny odcinek zmasowanego ataku na portfele Polaków. Do gospodarstw domowych trafiają pierwsze prognozy, a wśród nas wszystkich trwa koszmarna licytacja – kto zapłaci więcej. 

Jest to efekt totalnej nieudolności aktualnie rządzących. 

Fałszywie „uśmiechnięta Polska” funduje podwyżki wahające się od 50 do nawet 250% dotychczasowych cen. To realny dramat milionów polskich rodzin. W tym roku dzięki tej „wesołej” ekipie początek wakacji nie będzie kojarzył się niestety z błogim wypoczynkiem. A to dopiero początek, bo w okresie zimowym będzie jeszcze bardziej bolało… 

Dlatego w niedzielę 9 czerwca 🗳️ głosujcie na #BialoCzerwona drużynę @pisorgpl. 

Zatrzymamy szaleńcze rozwiązania zawarte w #ZielonyŁad. Polacy potrzebują reprezentacji walczącej o normalną i bezpieczną Polskę! 🇵🇱",pl,Tweet,5,621,230,504,57232,2024-04-30 09:09:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GMZSRY1WsAE2U1O.jpg
'1784824567506059754',"Czy chcecie POwrotu do przeszłości - czasów rekordowego bezrobocia, niepewności i niskich zarobków? Zabiorę Was w krótką podroż w czasie... 
🕰↩️📊 https://t.co/SwUTSV5YY4",pl,Tweet,46,2191,789,1033,150291,2024-04-29 07:58:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1784824353244213249/vid/avc1/1280x720/r8GdQ98rFGzdB48U.mp4?tag=14
'1784479313695257085',✅ Jednym z punktów naszego programu jest utrzymanie suwerenności walutowej. https://t.co/ZIkCohQYpr,pl,Tweet,18,2231,628,570,137211,2024-04-28 09:06:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1784479257365741569/vid/avc1/1280x720/GAiol8EvJgIfRgGV.mp4?tag=14
'1784257519549829124',"9 czerwca zagłosujmy na przedstawicieli @pisorgpl, którzy są jedyną gwarancją utrzymania suwerenności naszego państwa na kolejne lata. 🇵🇱 https://t.co/APLBtYSwVB",pl,Tweet,8,1389,390,913,88384,2024-04-27 18:25:17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GML0v-gXIAA--GB.jpg,https://pbs.twimg.com/media/GML0v-fXoAA2G4V.jpg,https://pbs.twimg.com/media/GML0v-bWUAEq1_K.jpg,https://pbs.twimg.com/media/GML0v-dWEAItR4w.jpg"
'1784197921111433356',"6️⃣ Panel VI #BiałoCzerwoni „Jakiej Unii chcemy? Normalność w Europie.”
🔴 Zapraszamy do oglądania transmisji 🔗  https://t.co/pkVVuZ47QB https://t.co/o6nyR5ibMg",pl,Retweet,0,133,51,48,12554,2024-04-27 14:28:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#BiałoCzerwoni,https://www.youtube.com/watch?v=8KMBbKycCoE,photo,https://pbs.twimg.com/media/GMK-gBvXcAAmTzo.jpg
'1784172009632432524',"Jest Pan nędznym propagandystą, który jest współodpowiedzialny za to, co dzieje się dziś na Ukrainie. 

W czasie, gdy realizowaliście reset z Rosją oni się zbroili i szykowali plany zniszczenia Ukrainy.

Tak mocno spaliście w Europie, że Niemców trzeba było budzić przez kilka dni po wybuchu wojny. Gdyby nie polski rząd w lutym 2022 roku to Ukraina mogła upaść.",pl,Reply,72,6689,1068,1745,338944,2024-04-27 12:45:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1784168236034007501',"Startujemy z naszą konferencją #BiałoCzerwoni 🇵🇱 „Wolni Polacy wobec zmian traktatowych Unii Europejskiej""❕ Bądźcie z nami ⤵️",pl,Tweet,2,780,214,364,42910,2024-04-27 12:30:30,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#BiałoCzerwoni,,,
'1784146587813368271',"Byliśmy pierwsi w Kijowie, pierwsi do pomocy. Zawsze po stronie Ukrainy, zawsze przeciwko Putinowi. https://t.co/WSTpAZPFLp",pl,Tweet,31,2230,612,1423,152623,2024-04-27 11:04:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1784146478836912128/vid/avc1/1280x720/IKEzsw-z0sRdhpbO.mp4?tag=14
'1783936638579589610',Życzę PDT szybkiego powrotu do zdrowia. Szczerze,pl,Tweet,28,2126,143,764,324574,2024-04-26 21:10:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1783790955633467578',"Dziś jestem w Budapeszcie, gdzie odbywa się wielka, międzynarodowa konferencja środowisk narodowo-konserwatywnych @CPAC (Conservative Political Action Conference).

Mówiłem na niej o tym, jak ważną i potrzebną Europie siłą jest konserwatyzm. Musimy go odkryć na nowo. Zarówno w kontekście bliskich wyborów do Parlamentu Europejskiego, jak i nieco dalszej perspektywie - przyszłości naszego kontynentu oraz nowego porządku świata. 

#Konserwatyzm to doktryna politycznego rozsądku, oparta o solidne fundamenty i klasyczne wartości, zakorzeniona w chrześcijańskim dziedzictwie Europy. 

To koncepcja przyszłości, która ochroni nas przed destrukcyjnymi pomysłami liberalnych elit, przed centralizacją UE, przed kolejnymi falami nielegalnej emigracji czy zagrożeniami dla naszych wolności - słowa, przemieszczania się, rolnictwa, handlu czy prowadzenia biznesu.

Cieszę się, że wielu obecnych na spotkaniu działaczy z całego świata rozumie, że sprawdzone, konserwatywne wartości to najlepszy wybór dla naszej wspólnej przyszłości. Będziemy ciężko pracować, by kolejne miliony wyborców nam zaufały i wybrały konserwatyzm!
 💪🇵🇱🇭🇺
@pisorgpl",pl,Tweet,33,2278,517,2140,268764,2024-04-26 11:31:19,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GMFMWk_XEAAYwL8.jpg,https://pbs.twimg.com/media/GMFMWlCXwAARHwV.jpg"
'1783422279524712732',"Co Wy tam palicie, @sikorskiradek? https://t.co/yEIvE59Ofy",pl,Tweet,107,5255,940,1978,417912,2024-04-25 11:06:20,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GL_8UtHXYAEchMb.jpg
